Category,Country_Province_FSA,Profile of FSA,characteristic_level_1,characteristic_level_2,characteristic_level_3,characteristic_level_4,characteristic_level_5,characteristic_level_6,counts
Religion,M1M,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,1585.0
Religion,M1M,Other Religions,Other Religions,,,,,,1550.0
Religion,M1M,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,765.0
Religion,M1M,  Jewish,Other Religions,  Jewish,,,,,60.0
Religion,M1M,  Islam,Other Religions,  Islam,,,,,305.0
Religion,M1M,  Buddhist,Other Religions,  Buddhist,,,,,90.0
Religion,M1M,  Hindu,Other Religions,  Hindu,,,,,265.0
Religion,M1M,  Sikh,Other Religions,  Sikh,,,,,50.0
Religion,M1M,Other (other religions) (4),Other (other religions) (4),,,,,,15.0
Religion,M1M,No religious affiliation,No religious affiliation,,,,,,2910.0
Religion,M1N,"Religion, Catholic","Religion, Catholic",,,,,,5710.0
Religion,M1N,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,5670.0
Religion,M1N,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,40.0
Religion,M1N,"Religion, Protestant","Religion, Protestant",,,,,,10035.0
Religion,M1N,  United Church,"Religion, Protestant",  United Church,,,,,2925.0
Religion,M1N,  Anglican,"Religion, Protestant",  Anglican,,,,,2980.0
Religion,M1N,  Baptist,"Religion, Protestant",  Baptist,,,,,540.0
Religion,M1N,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,985.0
Religion,M1N,  Lutheran,"Religion, Protestant",  Lutheran,,,,,500.0
Religion,M1N,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,195.0
Religion,M1N,  Mennonite,"Religion, Protestant",  Mennonite,,,,,30.0
Religion,M1N,  Jehovah's Witnesses,"Religion, Protestant",  Jehovah's Witnesses,,,,,150.0
Religion,M1N,  Reformed Bodies,"Religion, Protestant",  Reformed Bodies,,,,,0.0
Religion,M1N,  Salvation Army,"Religion, Protestant",  Salvation Army,,,,,85.0
Religion,M1N,  Latter-day Saints (Mormons),"Religion, Protestant",  Latter-day Saints (Mormons),,,,,0.0
Religion,M1N,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,1645.0
Religion,M1N,Other Religions,Other Religions,,,,,,1230.0
Religion,M1N,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,630.0
Religion,M1N,  Jewish,Other Religions,  Jewish,,,,,65.0
Religion,M1N,  Islam,Other Religions,  Islam,,,,,215.0
Religion,M1N,  Buddhist,Other Religions,  Buddhist,,,,,95.0
Religion,M1N,  Hindu,Other Religions,  Hindu,,,,,125.0
Religion,M1N,  Sikh,Other Religions,  Sikh,,,,,35.0
Religion,M1N,Other (other religions) (4),Other (other religions) (4),,,,,,65.0
Religion,M1N,No religious affiliation,No religious affiliation,,,,,,3965.0
Religion,M1P,"Religion, Catholic","Religion, Catholic",,,,,,7605.0
Religion,M1P,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,7585.0
Religion,M1P,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,20.0
Religion,M1P,"Religion, Protestant","Religion, Protestant",,,,,,11445.0
Religion,M1P,  United Church,"Religion, Protestant",  United Church,,,,,2765.0
Religion,M1P,  Anglican,"Religion, Protestant",  Anglican,,,,,2930.0
Religion,M1P,  Baptist,"Religion, Protestant",  Baptist,,,,,640.0
Religion,M1P,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,1220.0
Religion,M1P,  Lutheran,"Religion, Protestant",  Lutheran,,,,,565.0
Religion,M1P,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,655.0
Religion,M1P,  Mennonite,"Religion, Protestant",  Mennonite,,,,,0.0
Religion,M1P,  Jehovah's Witnesses,"Religion, Protestant",  Jehovah's Witnesses,,,,,90.0
Religion,M1P,  Reformed Bodies,"Religion, Protestant",  Reformed Bodies,,,,,25.0
Religion,M1P,  Salvation Army,"Religion, Protestant",  Salvation Army,,,,,225.0
Religion,M1P,  Latter-day Saints (Mormons),"Religion, Protestant",  Latter-day Saints (Mormons),,,,,15.0
Religion,M1P,  Other Protestant,"Religion, Protestant",  Other Protestant,,,,,2320.0
Religion,M1P,Other Religions,Other Religions,,,,,,5570.0
Religion,M1P,  Eastern Orthodox,Other Religions,  Eastern Orthodox,,,,,1845.0
Religion,M1P,  Jewish,Other Religions,  Jewish,,,,,20.0
Religion,M1P,  Islam,Other Religions,  Islam,,,,,1450.0
Religion,M1P,  Buddhist,Other Religions,  Buddhist,,,,,435.0
Religion,M1P,  Hindu,Other Religions,  Hindu,,,,,1635.0
Religion,M1P,  Sikh,Other Religions,  Sikh,,,,,100.0
Religion,M1P,Other (other religions) (4),Other (other religions) (4),,,,,,90.0
Religion,M1P,No religious affiliation,No religious affiliation,,,,,,4100.0
Religion,M1R,"Religion, Catholic","Religion, Catholic",,,,,,8285.0
Religion,M1R,  Roman Catholic (3),"Religion, Catholic",  Roman Catholic (3),,,,,8240.0
Religion,M1R,  Ukrainian Catholic,"Religion, Catholic",  Ukrainian Catholic,,,,,45.0
Religion,M1R,"Religion, Protestant","Religion, Protestant",,,,,,10945.0
Religion,M1R,  United Church,"Religion, Protestant",  United Church,,,,,2970.0
Religion,M1R,  Anglican,"Religion, Protestant",  Anglican,,,,,2890.0
Religion,M1R,  Baptist,"Religion, Protestant",  Baptist,,,,,870.0
Religion,M1R,  Presbyterian,"Religion, Protestant",  Presbyterian,,,,,805.0
Religion,M1R,  Lutheran,"Religion, Protestant",  Lutheran,,,,,590.0
Religion,M1R,  Pentecostal,"Religion, Protestant",  Pentecostal,,,,,410.0
